id,avg_dist_transportation,avg_dist_sports,avg_dist_healthcare,avg_dist_government,avg_dist_life,avg_dist_culture,avg_dist_shopping,avg_dist_tourist,avg_dist_restaurant
95,6860.2253,7319.7355,6999.1831999999995,7793.172100000001,6987.7862,9156.3803,7147.9958,8761.4041,6918.6298
96,715.8248,1059.9619,375.8876,571.3116,388.7884,4643.6482,116.2662,3071.0434,89.9051
97,710.5425,1326.725,530.1862,566.4871,780.7346,4422.886,283.5199,1516.5086999999999,198.6712
98,824.2419,918.5663000000001,790.1972,1228.8163,719.7641,2713.3188999999998,524.5668,1727.5722,467.9773
99,2265.5461,3215.7468,3364.4118000000003,2935.0119,2772.0688999999998,3506.504,3197.6538,1872.5003000000002,3085.6330000000003
100,959.9705,1495.566,1772.1646,1431.7748,1763.9857,2595.7154,1512.7576,1808.5387999999998,1068.2397999999998
101,621.514,1619.3244,823.3417,1306.4772,1338.9434999999999,1966.2046999999998,297.735,1921.1329999999998,356.2189
102,1076.3281000000002,1004.5361,1822.5974,2937.3806,1254.2064,6808.9806,1226.8725,3885.4574000000002,1493.5516
103,8527.2488,12857.105599999999,16945.0932,9240.817500000001,8647.406299999999,19956.0931,7942.342,8360.4489,3466.0419
104,985.5665999999999,1158.6144,1058.9582,1606.908,1155.0769,2372.8606,889.9808999999999,1411.9446,815.8140999999999
105,426.8383,1224.9149,336.5424,643.9458,423.297,4280.902099999999,260.4428,517.3877,223.65529999999998
106,2512.5147,2537.6168000000002,2667.9095,2918.8064,2179.9299,3271.5513,2586.1275,813.4214,2663.9686
107,885.0313,1260.5092,959.9754,1538.9797999999998,1528.363,1843.6876,1029.3441,1709.8294999999998,609.4835
108,950.5629999999999,867.8765999999999,826.2494,583.4132,730.3994,1442.7307,518.5364,1090.4025,421.1956
109,1104.1438,984.9460999999999,539.5407,617.6890999999999,543.5839,2698.5576,672.2646,1521.6199000000001,876.6559
110,1085.9217,1820.6828,1556.0689,1178.2736,1589.1859,6113.098400000001,1380.5753,1892.0162,239.7715
111,4858.1147,2611.9728,6109.0697,5368.8861,5102.6193,5265.2033,6771.078599999999,5112.0052,5540.2676
112,922.6769,1916.5913,712.374,1267.5477,856.2992,2468.3618,859.6832,1879.9667000000002,1525.3333
113,2406.1487,641.2999,13557.128400000001,6549.3983,2509.2558,14169.6533,82.8715,4196.7957,53.9693
114,551.0672999999999,686.8312,108.4923,417.762,366.7556,1771.9989999999998,159.10399999999998,1005.0413000000001,108.69030000000001
115,910.268,817.9748999999999,301.5602,551.8569,383.5322,2962.4667,438.7701,774.4905000000001,31.5379
116,2213.44,2065.6027999999997,2912.3707999999997,2772.7023,3339.6864,4191.5069,2312.0165,2534.7426,2077.9849000000004
117,5937.279,5161.274,3669.8616,5020.6396,3998.0881,5939.3043,457.80129999999997,3839.1811000000002,4188.402
118,1232.0238000000002,2680.652,1625.2720000000002,1274.6754,1559.4315000000001,6076.330199999999,1246.6129,2692.9572,880.5826000000001
119,618.6936,526.922,70.0121,776.5575,198.45080000000002,1485.3473,54.550700000000006,740.5363,67.6736
